Region,country,article_name,rev_id,article_quality,population
ASIA,Cambodia,Lu Laysreng,787016670.0,Stub,16.0
ASIA,Cambodia,Math Ly,787260537.0,Stub,16.0
ASIA,Cambodia,Chem Widhya,787978108.0,Start,16.0
ASIA,Cambodia,Pa Socheatvong,788070748.0,Stub,16.0
ASIA,Cambodia,Governor of Phnom Penh,788070776.0,Stub,16.0
ASIA,Cambodia,Son Sen,788368060.0,C,16.0
ASIA,Cambodia,Pen Sovan,788398926.0,Start,16.0
ASIA,Cambodia,Sak Sutsakhan,788540352.0,C,16.0
ASIA,Cambodia,Amath Yashya,788758065.0,Stub,16.0
ASIA,Cambodia,Tong Siv Eng,788799479.0,Stub,16.0
ASIA,Cambodia,Norodom Chakrapong,788905950.0,GA,16.0
ASIA,Cambodia,Prak Sokhon,790023943.0,Start,16.0
ASIA,Cambodia,Khieu Samphan,792012094.0,C,16.0
ASIA,Cambodia,Sisowath Sirik Matak,792274582.0,C,16.0
ASIA,Cambodia,Sam Sary,792556486.0,Start,16.0
ASIA,Cambodia,Tou Samouth,792731504.0,Start,16.0
ASIA,Cambodia,Yun Yat,793218721.0,Stub,16.0
ASIA,Cambodia,Khieu Ponnary,793723115.0,Start,16.0
ASIA,Cambodia,Cham Prasidh,793746447.0,Start,16.0
ASIA,Cambodia,Ung Huot,794239262.0,Start,16.0
ASIA,Cambodia,Veng Sereyvuth,794714434.0,Stub,16.0
ASIA,Cambodia,Ieng Mouly,795214039.0,Stub,16.0
ASIA,Cambodia,Pou Sothirak,796696955.0,Stub,16.0
ASIA,Cambodia,Chea Sim,797224256.0,C,16.0
ASIA,Cambodia,Hu Nim,797444265.0,C,16.0
ASIA,Cambodia,Sim Var,797618265.0,Start,16.0
ASIA,Cambodia,Bin Chhin,797673057.0,Stub,16.0
ASIA,Cambodia,Sim Ka,798039997.0,Stub,16.0
ASIA,Cambodia,Hou Yuon,798241496.0,C,16.0
ASIA,Cambodia,Phiset Phanit,799124051.0,Stub,16.0
ASIA,Cambodia,Norodom Sihanouk,799302232.0,FA,16.0
